id,name,name_short,type,sex,branche,party,politician
95,Anja Hajduk,Anja Hajduk,1,2,,GRUENE,T
96,Martin Burkert,Martin Burkert,1,1,,SPD,T
97,Bernd Reuther,Bernd Reuther,1,1,,FDP,T
98,Steffen Röhlig,Steffen Röhlig,1,1,,,F
99,Bundesministerium für Digitales und Verkehr,BMDV,2,,4,,F
100,Bundesministerium für Wirtschaft und Klimaschutz,BMWK,2,,4,,F
101,Eisenbahn- und Verkehrsgewerkschaft,EVG,2,,3,,F
102,Deutsche und Europäische Normungsgremien für Bahnen,DENB,2,,5,,F
103,"Schilling, Zutt & Anschütz Kanzlei",SZA Kanzlei,2,,,,F
104,Stephan Harbarth,Stephan Harbarth,1,1,,CDU,T
105,Bundesministerium für Finanzen,BaFin,2,,4,,F
106,Fritz Kuhn,Fritz Kuhn,1,1,,GRUENE,T
73,Stefan Garber,Stefan Garber,1,1,,,F
